AAREAL BANK AG	AARBESM1XXX
CAJA DE AH. PROV. SAN FERNANDO DE SEVILLA Y JEREZ	CECAESMM071
CAJA DE AHORRO PROVINCIAL DE GUADALAJARA	CECAESMM032
CAJA DE AHORROS DE ASTURIAS	CECAESMM048
CAJA DE AHORROS DE CASTILLA-LA MANCHA	CECAESMM105
CAJA DE AHORROS DE GALICIA	CAGLESMMXXX
CAJA DE AHORROS DE LA INMACULADA DE ARAGON	CECAESMM086
CAJA DE AHORROS DE LA RIOJA	CECAESMM037
CAJA DE AHORROS DE MURCIA	CECAESMM043
CAJA DE AHORROS DE SALAMANCA Y SORIA	CSSOES2SXXX
CAJA DE AHORROS DE SANTANDER Y CANTABRIA	CECAESMM066
CAJA DE AHORROS DE VITORIA Y ALAVA	CECAESMM097
CAJA DE AHORROS DEL MEDITERRANEO	CAAMES2AXXX
CAJA DE AHORROS MUNICIPAL DE BURGOS	CECAESMM018
CAJA DE AHORROS Y M.P. DE AVILA	CECAESMM094
CAJA DE AHORROS Y M.P. DE CORDOBA	CECAESMM024
CAJA DE AHORROS Y M.P. DE EXTREMADURA	CECAESMM099
CAJA DE AHORROS Y M.P. DE GIPUZKOA Y SAN SEBASTIAN	CGGKES22XXX
CAJA DE AHORROS Y M.P. DE LAS BALEARES	CECAESMM051
CAJA DE AHORROS Y M.P. DE MADRID	CAHMESMMXXX
CAJA DE AHORROS Y M.P. DE NAVARRA	CANVES2PXXX
CAJA DE AHORROS Y M.P. DE ONTINYENT	CECAESMM045
CAJA DE AHORROS Y M.P. DE SEGOVIA	CECAESMM069
CAJA DE AHORROS Y M.P. DE ZARAGOZA, ARAGON Y RIOJA	CAZRES2ZXXX
CAJA DE AHORROS Y PENSIONES DE BARCELONA	CAIXESBBXXX
CAJA DE ARQUITECTOS S.C.C.	CASDESBBXXX
CAJA DE CREDITO DE PETREL, CAJA RURAL, C.C.V.	BCOEESMM029
CAJA DE ELCHE, CAJA RURAL, C.C.V.	BCOEESM1181
CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M.P.	CSPAES2LXXX
CAJA GENERAL DE AHORROS DE CANARIAS	CECAESMM065
CAJA GENERAL DE AHORROS DE GRANADA	CECAESMM031
CAJA INSULAR DE AHORROS DE CANARIAS	CECAESMM052
CAJA LABORAL POPULAR C.C.	CLPEES2MXXX
CAJA PROVINCIAL DE AHORROS DE JAEN	CECAESMM092
CAJA R. ARAGONESA Y DE LOS PIRINEOS, S.C.C.	BCOEESMM189
CAJA R. BAENA NTRA. SRA. GUADALUPE S.C.C.A.	BCOEESMM089
CAJA R. CASTELLON S. ISIDRO, S.C.C.V.	BCOEESMM114
CAJA R. CATOLICO AGRARIA, S.C.C.V.	BCOEESMM110
CAJA R. CENTRAL, S.C.C.	BCOEESMM005
CAJA R. COMARCAL DE MOTA DEL CUERVO, S.C.L.C.A.	BCOEESMM116
CAJA R. CREDICOOP, S.C.C.	CRCPES2CXXX
CAJA R. DE ALBACETE, S.C.C.	BCOEESMM056
CAJA R. DE ALBAL, C.C.V.	BCOEESMM150
CAJA R. DE ALGINET, S.C.C.V.	BCOEESMM179
CAJA R. DE ARAGON, S.C.C.	BCOEESMM021
CAJA R. DE ASTURIAS, S.C.C.	BCOEESMM059
CAJA R. DE BETXI, S.C.C.V.	BCOEESMM138
CAJA R. DE BURGOS,S.C.C.	BCOEESMM060
CAJA R. DE CANARIAS, S.C.C.	BCOEESMM177
CAJA R. DE CAÑETE TORRES NTRA.SRA.DEL CAMPO,S.C.A.	BCOEESMM104
CAJA R. DE CASAS IBAÑEZ, S.C.C.CASTILLA-LA MANCHA	BCOEESMM127
CAJA R. DE CASINOS S.C.C.V.	BCOEESMM137
CAJA R. DE CHESTE, S.C.C.	BCOEESMM121
CAJA R. DE CIUDAD REAL, S.C.C.	BCOEESMM062
CAJA R. DE CORDOBA, S.C.C.	BCOEESMM063
CAJA R. DE CUENCA, S.C.C.	BCOEESMM064
CAJA R. DE EXTREMADURA, S.C.C.	BCOEESMM009
CAJA R. DE FUENTEPELAYO, S.C.C.	BCOEESMM022
CAJA R. DE GIJON, C.C	BCOEESMM007
CAJA R. DE GRANADA, S.C.C.	BCOEESMM023
CAJA R. DE GUISSONA, S.C.C.	BCOEESMM140
CAJA R. DE HUESCA, S.C.C.	BCOEESMM066
CAJA R. DE JAEN, BARCELONA Y MADRID, S.C.C.	BCOEESMM067
CAJA R. DE LA RODA, S.C.C. DE CASTILLA LA MANCHA	BCOEESMM128
CAJA R. DE NAVARRA, S.C.C.	BCOEESMM008
CAJA R. DE SALAMANCA, S.C.C.	BCOEESMM016
CAJA R. DE SEGOVIA, C.C.	BCOEESMM078
CAJA R. DE SORIA, S.C.C.	BCOEESMM017
CAJA R. DE TERUEL, S.C.C.	BCOEESMM080
CAJA R. DE TOLEDO, S.C.C.	BCOEESMM081
CAJA R. DE UTRERA, S.C.A.C.	BCOEESMM020
CAJA R. DE VILLAMALEA, S.C.C.A. CASTILLA-LA MANCHA	BCOEESMM144
CAJA R. DE VILLAR C.C.V.	BCOEESMM152
CAJA R. DE ZAMORA, C.C.	BCOEESMM085
CAJA R. DE ZARAGOZA, S.C.C.	BCOEESMM092
CAJA R. DEL CAMPO DE CARIÑENA, S.C.C.L.	BCOEESM1093
CAJA R. DEL DUERO, S.C.C.L.	BCOEESMM083
CAJA R. DEL MEDITERRANEO, RURALCAJA, S.C.C.	BCOEESMM082
