COD_BE,NOMBRE50,BIC,DESC_VARIACION
2101,CAJA DE AHORROS Y M.P. DE GIPUZKOA Y SAN SEBASTIAN,CGGKES22XXX,
0151,"JPMORGAN CHASE BANK NATIONAL ASSOCIATION, S.E.",CHASESM3XXX,
0122,"CITIBANK ESPAÑA, S.A.",CITIES2XXXX,
1474,"CITIBANK INTERNATIONAL PLC, S.E.",CITIESMXXXX,
3035,CAJA LABORAL POPULAR COOP. DE CREDITO,CLPEES2MXXX,
0159,"COMMERZBANK AKTIENGESELLSCHAFT, S.E.",COBAESMXXXX,
1173,BANQUE COURTOIS,COURESB1XXX,
1451,"CAISSE REGIONALE CREDIT AGRICOLE MUTUEL SUD MED,SE",CRCGESB1XXX,
1460,"CREDIT SUISSE AG, S.E.",CRESESMMXXX,
1199,BANCA CARIGE SPA-CASSA RISPARMIO GENOVA E IMPERIA,CRGEESM1XXX,
8233,"CELERIS SERVICIOS FINANCIEROS, S.A., E.F.C.",CSFAESM1XXX,
2108,"BANCO DE CAJA ESPAÑA INVER. SALAMANCA Y SORIA,S.A.",CSPAES2L108,
2096,"CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M.P.",CSPAES2LXXX,
2104,CAJA DE AHORROS DE SALAMANCA Y SORIA,CSSOES2SXXX,
0237,"CAJASUR BANCO, S.A.",CSURES2CXXX,
3084,"IPAR KUTXA RURAL, S.C.C.",CVRVES2BXXX,
3171,"CAIXA DELS ADVOCATS-CAJA DE LOS ABOGADOS, S.C.C.",CXAVESB1XXX,
0205,"DEUTSCHE BANK CREDIT, S.A.",DECRESM1XXX,
0019,"DEUTSCHE BANK, S.A.E.",DEUTESBBXXX,
0145,"DEUTSCHE BANK A.G., S.E.",DEUTESM1XXX,
1501,"DEUTSCHE PFANDBRIEFBANK AG, S.E.",DPBBESM1XXX,
0231,"DEXIA SABADELL, S.A.",DSBLESMMXXX,
1522,"EFG BANK (LUXEMBOURG) S.A., S.E.",EFGBESMMXXX,
1467,"HYPOTHEKENBANK FRANKFURT AG, S.E.",EHYPESMXXXX,
1164,ESPIRITO SANTO BANK OF FLORIDA,ESBFESM1XXX,
0030,"BANCO ESPAÑOL DE CREDITO, S.A.",ESPCESMMXXX,
1497,"BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., S.E.",ESSIESMMXXX,
0031,"BANCO ETCHEVERRIA, S.A.",ETCHES2GXXX,
0218,FCE BANK PLC S.E.,FCEFESM1XXX,
0225,"BANCO CETELEM, S.A.",FIEIESM1XXX,
0220,"BANCO FINANTIA SOFINLOC, S.A.",FIOFESM1XXX,
1466,"FRANFINANCE, S.E.",FRANESM1XXX,
0046,"BANCO GALLEGO, S.A.",GALEES2GXXX,
0487,"BANCO MARE NOSTRUM, S.A.",GBMNESMMXXX,
0167,"BNP PARIBAS FORTIS, S.A., N.V., S.E.",GEBAESMMXXX,
0223,"GENERAL ELECTRIC CAPITAL BANK, S.A.",GEECESB1XXX,
1191,SVENSKA HANDELSBANKEN,HANDES21XXX,
1236,LANDESBANK HESSEN-THUERINGEN GIROZENTRALE,HELAESM1XXX,
0217,"LLOYDS BANK INTERNATIONAL, S.A.",HLFXESMMXXX,
1182,UNICREDIT BANK AG,HYVEESM1XXX,
